en,fr,de,es,ja,it,he
victim,victime,Opfer,víctima,被害者,vittima,קורבן
view,voir,Sicht,vista,ビュー,visualizzazione,נוף
violence,violence,Gewalt,violencia,暴力,violenza,אַלִימוּת
visit,visite,besuchen,visita,訪問,visita,לְבַקֵר
voice,voix,Stimme,voz,声,voce,קוֹל
vote,vote,Abstimmung,votar,投票する,votazione,הַצבָּעָה
wait,attendez,Warten,esperar,待って,Aspettare,לַחֲכוֹת
walk,marcher,gehen,caminar,歩く,camminare,לָלֶכֶת
wall,mur,Wand,muro,壁,parete,קִיר
want,vouloir,wollen,desear,欲しい,Volere,רוצה
war,guerre,Krieg,guerra,戦争,guerra,מִלחָמָה
watch,montre,betrachten,mirar,時計,orologio,שעון
water,eau,Wasser,agua,水,acqua,מים
way,chemin,Weg,forma,方法,modo,דֶרֶך
we,nous,Wir,nosotros,私たちは,Noi,אָנוּ
weapon,arme,Waffe,arma,武器,arma,נֶשֶׁק
wear,porter,tragen,tener puesto,着る,Indossare,לִלבּוֹשׁ
week,semaine,Woche,semana,週,settimana,שָׁבוּעַ
weight,poids,Gewicht,peso,重さ,peso,מִשׁקָל
well,Bien,Also,Bueno,良い,BENE,נו
west,Ouest,West,Oeste,西,ovest,מַעֲרָב
western,occidental,Western,occidental,西,occidentale,מערבי
what,quoi,Was,qué,何,Che cosa,מה
whatever,peu importe,was auch immer,lo que,何でも,Qualunque cosa,מה שתגיד
when,quand,Wann,cuando,いつ,Quando,מתי
where,où,Wo,dónde,どこ,Dove,איפה
whether,si,ob,si,かどうか,se,האם
which,lequel,welche,cual,どれの,Quale,איזה
while,alors que,während,mientras,その間,Mentre,בזמן
white,blanc,Weiß,blanco,白,bianco,לבן
who,OMS,WHO,OMS,誰が,Chi,מי
whole,entier,ganz,entero,全体,Totale,כֹּל
whom,qui,dem,a quien,誰,chi,מִי
whose,dont,wessen,cuyo,だれの,di chi,של מי
why,pourquoi,Warum,por qué,なぜ,Perché,למה
wide,large,breit,ancho,広い,Largo,רָחָב
wife,épouse,Gattin,esposa,妻,moglie,אשה
will,volonté,Wille,voluntad,意思,Volere,רָצוֹן
win,gagner,gewinnen,ganar,勝つ,vincita,לנצח
wind,vent,Wind,viento,風,vento,רוּחַ
window,fenêtre,Fenster,ventana,窓,finestra,חַלוֹן
wish,souhait,Wunsch,desear,願い,desiderio,בַּקָשָׁה
with,avec,mit,con,と,con,עם
within,dans,innerhalb,dentro,内で,entro,בְּתוֹך
without,sans,ohne,sin,それなし,senza,לְלֹא
woman,femme,Frau,mujer,女性,donna,אִשָׁה
wonder,merveille,Wunder,preguntarse,不思議,Meraviglia,פֶּלֶא
word,mot,Wort,palabra,言葉,parola,מִלָה
work,travail,arbeiten,trabajar,仕事,lavoro,עֲבוֹדָה
worker,ouvrier,Arbeiter,obrero,ワーカー,lavoratore,עוֹבֵד
world,monde,Welt,mundo,世界,mondo,עוֹלָם
worry,inquiétude,Sorge,preocuparse,心配,preoccupazione,דאגה
would,serait,würde,haría,します,volevo,היה
write,écrire,schreiben,escribir,書く,scrivere,לִכתוֹב
writer,écrivain,Schriftsteller,escritor,作家,scrittore,סוֹפֵר
wrong,faux,falsch,equivocado,間違っている,sbagliato,לא בסדר
yard,cour,Hof,patio,ヤード,cortile,חָצֵר
yeah,Ouais,Ja,sí,うん,Sì,כֵּן
year,année,Jahr,año,年,anno,שָׁנָה
yes,Oui,Ja,Sí,はい,SÌ,כן
yet,encore,noch,todavía,まだ,Ancora,עדיין
you,toi,Du,tú,あなた,Voi,אתה
young,jeune,jung,joven,若い,giovane,צָעִיר
your,ton,dein,su,あなたの,tuo,שֶׁלְךָ
yourself,toi-même,selbst,tú mismo,自分自身,te stesso,עַצמְךָ
